,username,description,location,following,followers,totaltweets,retweetcount,text,hashtags
779,PleaseThink1776,,,471,1392,314018,3188,BREAKING NEWS: The NFL’s Buffalo Bills announce that all fans over the age of 12 will now be required to show proof of vaccination in order to enter their stadium. RT IF YOU THINK THAT EVERY AMERICAN SPORTS TEAM MUST FOLLOW THEIR LEAD!,[]
780,NoelleM62035315,"Latina Wife, Mom, Nana, activist for Autism, Caregiver. Married for 42 years, no DM","California, USA",2055,1090,4049,3188,BREAKING NEWS: The NFL’s Buffalo Bills announce that all fans over the age of 12 will now be required to show proof of vaccination in order to enter their stadium. RT IF YOU THINK THAT EVERY AMERICAN SPORTS TEAM MUST FOLLOW THEIR LEAD!,[]
781,skyhawksings,"he/him, Giant Skyhawk

SC: https://t.co/yvxXdkOj77 

Discord: Giant Skyhawk#5725",,917,493,4824,1,"So we finally get some sort of vaccination requirements and it's done in the silliest way possible to stop the government from being the bad guys.

Glad it's here, but what absolute clowns.",[]
782,fowler_thom,Welcome to the Goat Rodeo. Based on a True Story. Results may vary. No express or implied warranty.,"LA, SF, NYC, London",759,119,2408,0,"LA County is requiring proof of vaccination to drink in indoor bars.

The county is promoting the plan with a new campaign: ""Get the jab. Avoid rehab.""",[]
783,filtersmoon,"sometimes i wish i was a cloud.. just floating along, going wherever the breeze takes me. ☁️",amanda; xxviii toronto she/her,320,583,184821,124,Vaccination anthem  https://t.co/f022r1GQDm,[]
784,PankajRainaKP,A Refugee in my own country.,"Bengaluru South, India",862,250,39483,7818,"Milords have asked the Government to ensure 100% vaccination by the end of the year… The Government, in turn, should ask them to clear this 4 Cr pendency by 31 December…
Please RT if you agree! https://t.co/QKaz1tHecX",[]
785,Melody_Fornwald,,,36,5,21,312,"""Restriction exemption"" program. ""Proof of vaccination"" program. Whatever you call it, it's a vaccine passport for #AB. FINALLY!

@PremierScottMoe, your turn. #SK is the LAST place in Canada with no mask mandate or passport. Better late than never.

RT if you agree.

#COVID19SK",['AB']
786,jswats_,corn on the cob enthusiast #blacklivesmatter she/her,"Calgary, Alberta",523,463,1767,0,trying to get my proof of vaccination like https://t.co/k2NeaiqY4M,[]
787,Cosmosaic2012,Musician - Trader - Writer - Silver - Monero - Chess,"Michigan, USA",543,214,4308,0,@KeenanPeachy What’s hostile is snooping into your vaccination status,[]
788,Covid19NSW,"mostly #coronavirusNSW | Unaffiliated |
Do not @ your hot-takes at our retweets
2 x AZ","NSW, Australia",409,6263,13597,21,"Here's updated Indigenous vaccination rates (12+) for each state and territory with adjusted Vic data and updated AIR population data - Vic no longer highest, but still doing well with one of the smaller gaps between Indigenous and non-Indigenous rates  https://t.co/0978JsY5Ta https://t.co/gBPyJS8OgX",[]
789,r_andare,"Wife, sister, aunt, friend to all & breast cancer survivor. Lifelong Democrat Proud Resister! Black Lives Matter! No DM’s. #goodtrouble",United States,2136,1772,15509,3188,BREAKING NEWS: The NFL’s Buffalo Bills announce that all fans over the age of 12 will now be required to show proof of vaccination in order to enter their stadium. RT IF YOU THINK THAT EVERY AMERICAN SPORTS TEAM MUST FOLLOW THEIR LEAD!,[]
790,kelly73961862,,,51,46,4785,0,You spineless fucking asshole!!!! https://t.co/ptDt9csrsU,[]
791,EllaMareeAB,Journalist with @abc730 • Formerly @smh @NITV @SBSNews • Kamilaroi • archibald-binge.ella@abc.net.au,"Sydney, New South Wales",1594,3586,1461,21,"Here's updated Indigenous vaccination rates (12+) for each state and territory with adjusted Vic data and updated AIR population data - Vic no longer highest, but still doing well with one of the smaller gaps between Indigenous and non-Indigenous rates  https://t.co/0978JsY5Ta https://t.co/gBPyJS8OgX",[]
792,1738Yrn,i don’t stan anyone.,Jupiter ,189,174,2230,29,"Nicki Minaj testicle-gate is making all of America choose sides between Cardi B and Nicki Minaj all over again! Damn. Well for this vaccination beef, Nikki has Tucker Carlson and Candace Owens....And Cardi B has, well everyone else in the world https://t.co/m8jCBMcry5",[]
793,DrTimBoone,"""De Oppresso Liber"" RVN Vet, Ldrshp Coach, “The more a man feels without acting, the less he is able to act. Eventually, the less he is able to feel.”#BLM #FBR","Marietta, GA",10267,9340,89327,267,"Nicki Minaj is currently beefing with Joy Reid and now got both Candace Owens &amp; Tucker Carlson's support for her anti-vaccination stance. 

That's how bad her career appeal has shifted. 
It's only down from here.",[]
794,MikeyDaRoza,"Fuck cool. Have fun. 💯 A builder of brands, digital creator & marketing specialist. @habitat_cgy est. 2008 + https://t.co/ORoRWkQhgE est. 2020",,1246,2224,30545,0,"@Lauren_Global The Restriction Exemption Program allows people to participate in these activities by simply showing up with a negative test or proof of vaccination. Nobody is being forced to vaccinate. 

Hoping that the nightlife, entertainment &amp; restaurant industry can now continue to rebuild",[]
795,david_barkin,"Leftist, DSA, Photographer, Poet, Ornithologist, Satirist. A New Yorker. Retired Boiler Installer. Wannabe Intellectual 😂, and of course Never Biden! Greens!",,1686,1129,19576,0,"@donald_j_putin Fox of course will not let any of their workers or staff into their building without a vaccination. 😂
""The banality of evil.""
Hannah Arendt.",[]
796,renissance_1,Student ‘23. History/Science. Married. #vaccineswork Kind of grumpy; always tired. I block liberally. Do not DM me unless we are friends.,United States,2523,1481,236578,0,Enforcement of Quebec's vaccination passport system in full effect today. Here's what that means | CBC News https://t.co/PIcjxmbtg6,[]
797,TaraHope369,believes democracy deserves a fair chance! privatized campaign funding does not contribute to democracy. believes all politicians deserve their soapbox.,Terra ,694,173,832,1340,"In exclusive interview w/ The Defender, 16-year-old Sarah Green + her mother describe Sarah’s neurological symptoms following vaccination with Pfizer + how docs wouldn’t acknowledge vaccine might be to blame.

SIGN UP #TheDefender: https://t.co/zL66Edfiw5

https://t.co/kv33qvBM9T",[]
